斜紋夜蛾,斜紋夜盜蟲,黑蟲,行軍蟲,黑肚蟲,夜盜蟲
甜菜夜蛾,蔥仔管蟲,管仔蟲,,,
黑點病,,,,,
軟腐病,,,,,
疫病,,,,,
炭疽病,,,,,
潰瘍病,,,,,
白絹病,,,,,
黑腐病,,,,,
紫斑病,,,,,
黑斑病,細菌性黑斑病,鬼頭病,輪斑病,,
露菌病,,,,,
根螨,,,,,
薊馬,,,,,
瘤野螟,稻縱捲葉蟲,捲葉蟲,葉尾蟲,縱捲葉蟲,
褐飛蝨,稻蝨,跳仔,,,
白背飛蝨,,,,,
斑飛蝨,穗苔,,,,
梨木蝨,,,,,
黑星病,,,,,
煤紋病,,,,,
稻熱病,稻瘟,,,,
荔枝椿象,臭青龜仔,臭屁蟲,臭椿象,荔椿,
白葉枯病,,,,,
木蝨,,,,,
東方果實蠅,蜂仔,,,,
穗稻熱病,吊穗,吊狗,,,
葉稻熱病,,,,,
螟蟲,,,,,
水稻縞葉枯病,,,,,
露疫病,,,,,
鬼帚病,,,,,
紋枯病,臭腳銅,,,,
二化螟,鑽心蟲,,,,
三化螟,,,,,
草狀矮化病,,,,,
皺縮矮化病,,,,,
水稻水象鼻蟲,,,,,
小黃薊馬,茶黃薊馬,,,,
花薊馬,,,,,
煤煙病,煤污病,黑腳煙仔,,,
瓜實蠅,瓜仔蜂,,,,
灰象鼻蟲,,,,,
線蟲,,,,,
飛蝨類,,,,,
酸腐病,,,,,
壯鋏普癭蚋,,,,,
晚疫病,黑骨病,黑腳病,爛葉仔病,黑骨,
咖啡木蠹蛾,,,,,
台灣黃毒蛾,,,,,
小白紋毒蛾,,,,,
畸形病,瘋花,瘋欉,公花,,
瘡痂病,,,,,
白粉病,,,,,
褐斑病,,,,,
銀葉粉蝨,白蒼蠅,,,,
番茄嵌紋病毒,,,,,
胡瓜嵌紋病毒,,,,,
馬鈴薯病毒Y,,,,,
番茄黃化捲葉病毒,番茄捲葉病,,,,
霍香薊黃脈病毒,,,,,
輪斑病,,,,,
根腐病,,,,,
濕腐病,,,,,
黃萎病,,,,,
蚜蟲,,,,,
番茄斑點萎凋病毒,,,,,
葉螨,紅蜘蛛,,,,
螟蛾,,,,,
葉斑病,,,,,
甘藷蟻象,,,,,
福壽螺,,,,,
褪綠斑駁病毒病,,,,,
細菌性條斑病,,,,,
二點小綠葉蟬,,,,,
秋行軍蟲,草地貪夜蛾,,,,
蔓枯病,敗頭,,,,
赤星病,,,,,
黑角舞蛾,,,,,
荔枝細蛾,蒂頭蟲,蒂蛀蟲,,,
角斑病,,,,,
荔枝銹螨,荔枝氈螨,荔枝銹蜱,,,
腫葉病,,,,,
毛氈病,,,,,
早疫病,,,,,
細菌性斑點病,,,,,
癭蠅,,,,,
黃守瓜,,,,,
晚腐病,,,,,
稻細螨,,,,,
胡麻葉枯病,,,,,
果腐病,,,,,
斑螟蛾,黑蟲,,,,
花姬捲葉蛾,,,,,
粉介殼蟲,白龜神,白蚊子,白粉蝨,,
細菌性角斑病,臭葉,,,,
節螨,節蜱,銹蜱,芽螨,銹螨,癭螨
果疫病,,,,,
心腐病,,,,,
黑潰瘍病,,,,,
銹病,,,,,
負泥蟲,揹屎蟲,,,,
神澤氏葉螨,,,,,
二點葉螨,,,,,
柑橘窄胸天牛,,,,,
芽疫病,,,,,
裾腐病,,,,,
褐腐病,滾水病,水菇病,水傷,,
蒂腐病,,,,,
果斑病,,,,,
細螨,,,,,
柑桔銹螨,銹壁蝨,,,,
葉鞘腐敗病,,,,,
油斑病,,,,,
潛葉蛾,,,,,
徒長病,稻公,馬鹿苗病,揚旗,,
南瓜捲葉病毒,,,,,
瓜類退綠黃化病毒,,,,,
灰黴病,,,,,
介殼蟲,,,,,
枝枯病,,,,,
荔枝癭蚋,,,,,
荔枝葉螨,,,,,
柑橘赤葉螨,,,,,
黑條萎縮病,,,,,
蛾類,,,,,
秀粉介殼蟲,,,,,
黑煤病,,,,,
竹盲椿象,,,,,
蔥薊馬,,,,,
黃條葉蚤,跳仔,黃龜仔,黑龜仔,硬殼龜仔,黑龜跳仔
果實蠅,,,,,
菌核病,,,,,
番茄夜蛾,,,,,
葉蟬,浮塵子,,,,
銹螨,,,,,
茶細螨,,,,,
太平洋臀紋粉介殼蟲,,,,,
黑點根腐病,,,,,
黃龍病,,,,,
紋白蝶,大青蟲,斑潛蠅,,,
番茄斑潛蠅,,,,,
夜蛾類,,,,,
青枯病,,,,,
番茄病毒病,,,,,
南黃薊馬,,,,,
象鼻蟲,,,,,
萎凋病,蔓割病,,,,
赤銹病,,,,,
一點螟,,,,,
玉米螟,,,,,
蔥潛蠅,,,,,
小菜蛾,,,,,
腹鉤薊馬,,,,,
立枯病,,,,,
苗立枯病,,,,,
線蟲白尖病,,,,,
根瘤線蟲,,,,,
白輪盾介殼蟲,,,,,
螞蟻,,,,,
蝦殼天蛾,白薯天蛾,,,,
縮芽病,,,,,
軸腐病,,,,,
亞洲潛葉蠅,,,,,
地中海果實蠅,,,,,
紅火蟻,,,,,
番茄潛旋蛾,,,,,
嵌紋病,,,,,
萎縮病,,,,,
棉蚜,,,,,
蕉蚜,,,,,
蝶蛾類,,,,,
粉蝨類,,,,,
椿象類,,,,,
豆花薊馬,,,,,
臺灣花薊馬,,,,,
細蛾類,細蛾,,,,
蚇蠖蛾類,,,,,
毒蛾類,,,,,
白絹病菌,,,,,
立枯絲核菌,,,,,
水銹病,,,,,
假莖象鼻蟲,,,,,
球莖象鼻蟲,,,,,
黍蚜,,,,,
桃蚜,,,,,
琉璃蟻,臺灣本土黑螞蟻,,,,
疣胸琉璃蟻,,,,,
水銹斑,水銹條紋,水銹條斑,,,
成熟斑,,,,,
節稻熱病,,,,,
藻斑病,,,,,
毒素病,,,,,
莖潛蠅,,,,,
葉潛蠅,,,,,
根潛蠅,,,,,
豆莢螟,,,,,
綠椿象,,,,,
小綠葉蟬,,,,,
潛蠅類,,,,,
赤葉螨,,,,,
柑桔葉螨,,,,,
姬黃薊馬,,,,,
猝倒病,,,,,
路易氏始葉螨,,,,,
大螟,,,,,
褐根病,,,,,
